Organization Name,Popular Name,Discipline / Field,Category,Application Number,City,State,Zip,Project Description,Fiscal Year,Congressional District,Grant Amount,Grant From Date,Grant To Date
"Vineyard Theatre & Workshop Center, Inc.","aka Vineyard Theatre, The Vineyard",Musical Theater,Access to Artistic Excellence,06-2800-7027,New York,NY,10003-2102,To support the development and workshop presentations of the new musical MY MOTHER AND UMM KULTHUM by Polly Pen. The play will be developed in the Kitty Carlisle Hart Musical Theater Lab with accompanying dramaturgical support.,2006,12,"$30,000 ",1/1/2006,1/31/2008
"Vineyard Theatre & Workshop Center, Inc.","aka Vineyard Theatre, The Vineyard",Theater,Art Works,16-3200-7122,New York,NY,10003-2102,"To support the production of ""Dot,"" a new play by Colman Domingo. The play tells the story of adult siblings who gather for the holidays at the inner-city home of their mother, Dot, who has advancing dementia. As they struggle with how to best care for her, they also confront their complicated relationships with one another, and the effects of the passage of time on a family and on a neighborhood. The theater will offer student matinees and special workshops to underserved New York City public high school students, and a special performance for families caring for loved ones suffering from Alzheimer's disease.",2016,12,"$40,000 ",1/1/2016,6/30/2016
"Vineyard Theatre & Workshop Center, Inc.","aka Vineyard Theatre, The Vineyard",Musical Theater,Art Works,12-2800-7022,New York,NY,10003-2102,"To support a developmental production of ""The Landing,"" an original piece with music by John Kander, and book and lyrics by Greg Pierce. The work will be made up of three interwoven one-acts: ""Andra,"" the story of a young boy who acquires a telescope through which he views the eponymous constellation; ""The Brick,"" in which a film noir enthusiast becomes obsessed with owning a piece of the St. Valentine's Day Massacre; and ""The Landing,"" in which a couple's newly adopted son turns out to have an obsession with the L Train and a troubling plan.",2012,12,"$40,000 ",1/1/2012,6/30/2012
"Vineyard Theatre & Workshop Center, Inc.","aka Vineyard Theatre, The Vineyard",Musical Theater,Access to Artistic Excellence,10-2800-7027,New York,NY,10003-2102,"To support for the development and world premiere production of a new musical, ""The Scottsboro Boys"". Susan Stroman will choreograph and direct the work with music and lyrics by John Kander and Fred Ebb, and book by David Thompson.",2010,12,"$40,000 ",1/1/2010,6/30/2010
"Vineyard Theatre & Workshop Center, Inc.","aka Vineyard Theatre, The Vineyard",Musical Theater,Access to Artistic Excellence,08-2800-7015,New York,NY,10003-2102,"To support a Developmental Lab production of ""The Burnt Part Boys"" with book by Mariana Elder, music by Chris Miller, and lyrics by Nathan Tysen. The musical is a large-scale work with a bluegrass-inspired score about a group of teenagers whose miner fathers perished in a tragic coal mining accident.",2008,12,"$40,000 ",7/1/2008,6/30/2009
"Vineyard Theatre & Workshop Center, Inc.","aka Vineyard Theatre, The Vineyard",Musical Theater,Creativity / Presentation,03-2800-5004,New York,NY,10003-2102,"To support the development, lab production, and full production of a new musical theater piece. The Miracle Brothers, by Kirsten Childs, is the first commission of the Kitty Carlisle Hart Music Theatre Lab of Vineyard Theatre.",2003,12,"$40,000 ",1/1/2003,10/31/2005
"Vineyard Theatre & Workshop Center, Inc.","aka Vineyard Theatre, The Vineyard",Musical Theater,Creativity / Presentation,02-2800-5007,New York,NY,10003-2102,"To support the development and production of a new musical-theatre piece, BRUTAL IMAGINATION. The text will be by Cornelius Eady and the score by Diedre Murray.",2002,12,"$40,000 ",8/1/2001,4/30/2002
"Vineyard Theatre & Workshop Center, Inc.","aka Vineyard Theatre, The Vineyard",Theater,Access to Artistic Excellence,05-3200-7125,New York,NY,10003-2102,"To support the development and production of a new interpretation of J. M. Barrie's 1920s play MARY ROSE, including educational outreach. The revival of the lost classic will involve dramaturgical research, developmental readings and workshops, and the commission of an original score.",2005,12,"$45,000 ",1/1/2005,6/30/2007
"Vineyard Theatre & Workshop Center, Inc.","aka Vineyard Theatre, The Vineyard",Theater,Creativity / Presentation,04-3200-5025,New York,NY,10003-2102,"To support the activities of the Kitty Carlisle Hart Musical Theatre Lab and the New Play Development Lab. The theater will formalize and expand these artistic initiatives to assist more artists with the creative process, and involve them more directly in the organization and its community",2004,12,"$45,000 ",1/1/2004,6/30/2005
"Vineyard Theatre & Workshop Center, Inc.","aka Vineyard Theatre, The Vineyard",Musical Theater,Access to Artistic Excellence,11-2800-7022,New York,NY,10003-2102,"To support development and lab production of Alan Jay Lerner and Burton Lane's musical ""On A Clear Day You Can See Forever,"" re-conceived and directed by Michael Mayer with a new book by Peter Parnell. The project seeks to revitalize a significant but neglected American musical and introduce a new generation to the provocative work that will explore gender, identity, loss, and psychologyissues that were not prevalently discussed when it premiered in 1965.",2011,12,"$55,000 ",1/1/2011,10/31/2011
"Vineyard Theatre & Workshop Center, Inc.","aka Vineyard Theatre, The Vineyard",Theater,Art Works,15-3200-7043,New York,NY,10003-2102,"To support the world premiere production of ""Gloria"" by Branden Jacobs-Jenkins, directed by Evan Cabnet. The work chronicles the experiences of an ambitious, culturally diverse group of young people working as editorial assistants at a renowned New York magazine. When they experience an unexpected act of violence, the assistants are confronted with questions of authorship as it relates to identity, race, class, and privilege. The theater will offer student matinees of the work to public high school students from underserved New York City neighborhoods through its Arts in Education Program.",2015,12,"$60,000 ",1/1/2015,7/31/2015
"Theater for the New City Foundation, Inc.",aka TNC,Theater,Art Works,14-3200-7080,New York,NY,10003-2906,"To support the world premiere of ""Sotto Voce,"" by Cuban American playwright Nilo Cruz. The play tells the story of the S.S. St. Louis, a ship carrying Jewish passengers fleeing World War II that was turned away by both Cuba and the United States. Weighing this dark chapter of history against current events, the play will consider the political and personal implications of immigration.",2014,12,"$10,000 ",1/1/2014,3/31/2014
"Theater for the New City Foundation, Inc.",aka TNC,Theater,Creativity / Presentation,03-3200-5169,New York,NY,10003-2906,"To support world premiere productions of ""The Golden Bear"" by Laurel Hessing and ""Minus One"" by Gyavira Lasana. Activities include the playwrights involvement in the rehearsal and production process.",2003,12,"$12,000 ",12/1/2002,6/30/2003
"Theater for the New City Foundation, Inc.",aka TNC,Theater,Creativity / Presentation,00-3200-5055,New York,NY,10003-2906,"To support The Emerging Playwrights Program which is dedicated to supporting emerging playwrights in the development of their work. This project is geared toward supporting emerging and mid-career artists in their efforts to hone their craft, develop a new writing style, or touch on new themes or topics.",2000,12,"$12,000 ",12/1/1999,11/30/2000
"Theater for the New City Foundation, Inc.",aka TNC,Theater,Creativity / Presentation,01-3200-5116,New York,NY,10003-2906,To support the Emerging Playwrights Program. The program will support up to ten emerging playwrights in the development and presentation of their works.,2001,12,"$14,000 ",12/1/2000,11/30/2002
"Voyage Theater Company, Inc.",,Theater,Art Works,17-3200-7156,New York,NY,10003-2945,"To support a production of ""The Mecca Tales,"" a new play by Rohina Malik. Produced in partnership with Crossroads Theatre Company, the play tells the story of five Muslim women on a first time pilgrimage to Mecca known as the Hajj. When their bus breaks down just a few miles short of their destination, each woman's spiritual journey is tested in unexpected ways. The theater is planning a series of post-performance talkbacks with guest speakers and panelists from the American Muslim Women's Association, The Sisterhood of Salam-Shalom, the Center for Ethnic, Racial, and Religious Understanding, and the Westchester Coalition Against Islamophobia.",2017,12,"$10,000 ",6/1/2017,12/31/2017
"Starfish Theatreworks, Inc.",aka STW,Challenge America,Challenge America Positive Alternatives for Youth,02-7818-1109,New York,NY,10003-3115,"To support a partnership project of artist-led activities that provides positive alternatives for youth. The partnership with Legacy High School and the Board of Education Alternative School Office will conduct summer teacher training programs and in-school theater arts classes for 25 teenage students. The program, ""Find Your Voices,"" is designed for inarticulate teens.",2002,12,"$10,000 ",6/1/2002,5/31/2003
"Starfish Theatreworks, Inc.",aka STW,Arts Education,Arts Learning,03-5100-8177,New York,NY,10003-3115,To support creation of a text documenting the Literacy-Through-Theatre Method. The project will continue the goals achieved through STW's Turn-Key Lab that has improved hundreds of inner-city teens' writing and speaking skills through the study of playwriting and acting.,2003,12,"$15,000 ",6/1/2003,5/31/2004
"Dance Service New York City, Inc.",aka Dance/NYC,Dance,Art Works,15-3300-7009,New York,NY,10003-3605,"To support Dance/NYC's Town Hall meetings, Disabilities and NYC Dance Convenings, a Junior Committee for field leaders, and continued expansion of the Dance/NYC website. Town Hall meetings will focus on topics such as the state of international touring, the power of digital storytelling, and landmarked buildings connected to the dance field. The Disabilities and NYC Dance Convenings will include integrating artists with disabilities in dance practice and performance, developing effective communications and program access, and training dance company staff and constituents on disabilities issues. The Junior Committee identifies and develops the field by providing annual leadership training and professional development for emerging artists, managers, and educators. The next phase of the website expansion will include the continued dissemination of dance activity and resources, and the building of partnerships to share functionality and content and drive cross-promotional networking effects.",2015,12,"$10,000 ",4/1/2015,12/31/2015
"Dance Service New York City, Inc.",aka Dance/NYC,Dance,Art Works,16-3300-7066,New York,NY,10003-3605,"To support Dance/NYC's Town Hall meetings, a symposium, a disability and NYC Dance Convening, a Junior Committee, and continued expansion of the Dance/NYC website. Town Hall meetings will be offered free to the public and will focus on topics such as the state of international touring, the opportunities for digital archiving, disaster preparedness, and models of collaboration among institutions of higher learning and cultural organizations. The symposium is an annual full-day event that focuses on a particular topic relevant to the dance field and will include panel discussions, case study presentations, individual consultations, and workshops. A series of disability convenings will include topics such as integrating disabled artists in dance practice and performance, developing effective communications and program access, and training dance company staff and constituents on disability issues. The Junior Committee provides annual leadership training and professional development for emerging artists, managers, and educators. Dance/NYC plans to develop accessible pages to spotlight local dance artists and companies with productions focused on disability for its website.",2016,12,"$15,000 ",1/1/2016,12/31/2016
"Dance Service New York City, Inc.",aka Dance/NYC,Dance,Art Works,14-3300-7154,New York,NY,10003-3605,"To support Dance/NYC's annual symposium, Town Hall meetings, and expansion of its website. The symposium will be an opportunity to share information and encourage innovation, and will include panel discussions and case study presentations on issues such as fundraising, touring, marketing, education, technology and research. Town Hall meetings will focus on topics such as diversity and inclusivity, programming and access for the disabled, education and outreach, and new field leaders and field models. The website expansion will include the continued updating of the site based on user feedback and will also include targeted outreach to expand performance, professional development, and management listings, as well as partnerships to drive cross-promotional networking.",2014,12,"$15,000 ",6/1/2014,3/31/2015
"Dance Service New York City, Inc.",aka Dance/NYC,Dance,Art Works,1849899-33-19,New York,NY,10003-3605,"To support Dance/NYC's Symposium, town hall meetings, the Junior Committee, a conference, and continued expansion of the organization's website. The Symposium includes panel discussions, case study presentations, individual consultations, and interactive workshops. Town halls generate discussions that are responsive to breaking dance news, issues, emerging models, and changes in field leadership. The Junior Committee develops field leaders of the future by providing leadership training and professional development for emerging artists, managers, and educators. The conference will be for small-budget dance makers who are supported by Dance/NYC's Dance Advancement Fund and will foster peer-learning and partnerships. The Dance/NYC website houses a community calendar, employment information, field news, directory of inclusive workspaces recommended for disabled artists, and policy research.",2019,12,"$20,000 ",1/1/2019,12/31/2019
"Dance Service New York City, Inc.",aka Dance/NYC,Dance,Art Works,1830728-33-18,New York,NY,10003-3605,"To support Dance/NYC's Symposium, town hall meetings, the Junior Committee, a conference, and continued expansion of the organization's website. The Symposium includes panel discussions, case study presentations, individual consultations, and interactive workshops. Town halls generate discussions that are responsive to breaking news, issues, emerging models, and changes in field leadership. The Junior Committee develops field leaders of the future by providing leadership training and professional development for emerging artists, managers, and educators. The conference for immigrant artists hosts events that seek to share resources, promote dialogue, foster peer-learning, and encourage increased professional opportunities for immigrant artists. The Dance/NYC website houses a community calendar, employment information, field news, directory of inclusive workspaces recommended for disabled artists, and policy research.",2018,12,"$20,000 ",1/1/2018,12/31/2018
"Dance Service New York City, Inc.",aka Dance/NYC,Dance,Art Works,17-3300-7064,New York,NY,10003-3605,"To support Dance/NYC's Symposium, Town Hall meetings, the Voices on Race and Dance series, the Junior Committee, and continued expansion of the organization's website. The Symposium includes panel discussions, case study presentations, individual consultations, and interactive workshops to share information, generate dialogue and form partnerships, and stimulate engagement in New York City dance. Town Halls generate discussions that are responsive to breaking news, issues, emerging models, or changes in field leadership. The Voices on Race and Dance series will offer at least three convenings on bright spots for racial equity work in dance, generate short- and long-term public dialogue, and advance thought leadership of creative communities of color in New York City. The Junior Committee develops field leaders of the future by providing leadership training and professional development for emerging artists, managers, and educators. The Dance/NYC website houses a community calendar, employment information, field news, directory of inclusive workspaces recommended for disabled artists, and policy research.",2017,12,"$20,000 ",1/1/2017,12/31/2017
Figment Project Inc.,aka,Presenting & Multidisciplinary Works,Art Works,1846620-54-19,New York,NY,10003-4277,"To support the FIGMENT arts festival. The free, multidisciplinary arts festival will engage artists and community members in Boston, New York City, San Diego, Chicago, and Oakland through participatory art in a variety of disciplines, including visual arts, electronic art, performance, music, and multidisciplinary work. The project will utilize public spaces, including parks, throughout the five cities and work with each city's diverse populations.",2019,12,"$10,000 ",1/1/2019,10/31/2019
Figment Project Inc.,aka,Presenting & Multidisciplinary Works,Art Works,1829295-54-18,New York,NY,10003-4277,"To support the FIGMENT arts festival. The free, multidisciplinary arts festival will engage artists and community members in Boston, New York City, Baltimore, Chicago, and Oakland through participatory artworks. The project will utilize public spaces, including parks, throughout the five cities and work with each city's diverse populations.",2018,12,"$10,000 ",1/1/2018,10/31/2018
Figment Project Inc.,aka,Presenting & Multidisciplinary Works,Art Works,16-5400-7004,New York,NY,10003-4277,"To support the FIGMENT arts festival. The free, multidisciplinary arts festival will engage artists and community members in Boston, New York City, San Diego, Chicago, and Oakland through participatory artworks. The project will develop underutilized public spaces throughout the five cities and work with each city's diverse populations.",2016,12,"$15,000 ",1/1/2016,10/31/2016
Figment Project Inc.,aka,Presenting & Multidisciplinary Works,Art Works,14-5400-7043,New York,NY,10003-4277,"To support the FIGMENT arts festival. The free, multidisciplinary arts festival will engage artists and community members in Boston, New York City, San Diego, Chicago, and Jackson, Mississippi.",2014,12,"$20,000 ",1/1/2014,10/31/2014
Figment Project Inc.,aka,Presenting & Multidisciplinary Works,Art Works,12-5400-7025,New York,NY,10003-4277,"To support the FIGMENT Arts Festival in New York City, Boston, Detroit, and Jackson, MS. The free participatory festival will provide a forum for creation and display of interactive art forms by emerging artists in a variety of disciplines including sculpture, visual arts, electronic art, performance, and music.",2012,12,"$20,000 ",1/1/2012,9/30/2012
"Art Omi, Inc.",aka Omi International Arts Center,Artist Communities,Art Works,17-7200-7029,New York,NY,10003-4301,"To support American artists as part of an international artists residency program. Omi International Arts Center will host artists in the fields of visual arts, writing, music, dance, and architecture. Each resident will receive room and board, studio space, and time to produce new works, as well as the opportunity to engage with a diverse community of international artists.",2017,12,"$10,000 ",1/1/2017,12/31/2017
"Art Omi, Inc.",aka Omi International Arts Center,Artist Communities,Art Works,14-7200-7032,New York,NY,10003-4301,"To support a residency program and related activities. Writers, visual artists, musicians, composers, dancers, and choreographers will receive fully-funded residencies.",2014,12,"$10,000 ",1/1/2014,12/31/2014
"Art Omi, Inc.",aka Omi International Arts Center,Artist Communities,Access to Artistic Excellence,10-7200-7025,New York,NY,10003-4301,"To support the artist residency program. Musicians, writers, dancers, and visual artists will be provided room, board, and a place to work.",2010,12,"$10,000 ",1/1/2010,12/31/2010
"Art Omi, Inc.",aka Omi International Arts Center,Artist Communities,Art Works,1846919-72-19,New York,NY,10003-4301,"To support American artists as part of an international artists residency program. Omi International Arts Center will host artists in the fields of visual arts, writing, music, dance, and architecture. Each resident will receive room and board, studio space, and time to produce new works, as well as the opportunity to engage with a diverse community of international artists.",2019,12,"$15,000 ",1/1/2019,12/31/2019
"Art Omi, Inc.",aka Omi International Arts Center,Visual Arts,Art Works,1808850-41-18,New York,NY,10003-4301,"To support a visual arts residency program. U.S. artists will be invited to Art Omi's 200-acre rural campus in upstate New York. Artists will receive studio space, room and board, and specialized staff support to produce a new body of work. In addition, a critic/curator will participate in the program, leading discussions and providing critical feedback. Resident artists will have the opportunity to work with a master printmaker from Pondside Press to produce an edition of monotypes. Each residency will culminate in Open Studio Day, a public celebration of the artists' work during Art Omi Weekend. The month-long residency will give artists the opportunity to engage in a professionally enriching and unique community of peers from a variety of artistic disciplines representing more than 25 different countries around the world.",2018,12,"$30,000 ",6/1/2018,12/31/2018
"Police Athletic League, Inc.",aka PAL,Challenge America,Challenge America Positive Alternatives for Youth,01-7818-1132,New York,NY,10003-4640,,2001,12,"$10,000 ",6/1/2001,5/31/2002
"Police Athletic League, Inc.",aka PAL,Arts Education,Arts Learning,03-5100-8107,New York,NY,10003-4640,To support the Portraits Project Mentorship Program and the In School Training and Employment Program. The sequential arts program will be hosted by centers serving more than 40 at-risk and homeless children.,2003,12,"$54,000 ",8/1/2003,7/31/2005
"Police Athletic League, Inc.",aka PAL,Arts Education,Learning in the Arts for Children & Youth,05-5100-8163,New York,NY,10003-4640,"To support the Arts Conservatory Program (ACP), a sequential arts instruction program for at-risk youth. Targeted for homeless youth living in shelters and other at-risk children and teens, the classes will be offered at Police Athletic League youth centers in East New York, Hell's Kitchen, and South Bronx.",2005,12,"$60,000 ",8/1/2005,7/31/2007
"Red Wing Performing Group, Inc.",,Presenting & Multidisciplinary Works,Access to Artistic Excellence,09-5400-7027,New York,NY,10003-4718,"To support the final development and performances of ""Disfarmer."" The project is a theater work by Dan Hurlin, playwright Sally Oswald and composer Dan Moses Schreier.",2009,12,"$10,000 ",1/1/2009,12/31/2009
"Red Wing Performing Group, Inc.",,,Creativity / Presentation,03-7000-5018,New York,NY,10003-4718,,2003,12,"$10,000 ",1/1/2003,2/29/2004
"Arts Resources in Collaboration, Inc.",aka ARC,Dance,Art Works,17-3300-7141,New York,NY,10003-5119,"To support the Eye on Dance Legacy Archive project. The project will systematically organize, assess, identify, and safeguard elements of the archive for full public access. Archival measures are guided by the Archive Assessment Report action list that prioritizes the identification, assessment, and transfer of time-sensitive analog videotape. The current phase builds on the inspection and transfer of at-risk videos and paper records related to artists with AIDS.",2017,12,"$10,000 ",6/1/2017,5/31/2018
"Arts Resources in Collaboration, Inc.",aka ARC,Dance,Art Works,16-3300-7100,New York,NY,10003-5119,"To support the Eye on Dance Legacy Archive. The complete archive features more than three decades of recordings from the ""Eye on Dance"" television series, created in 1981. The archive not only includes the analog video of dance performances and conversations, but also scores of photographs, oral histories, research notes, correspondence, souvenir books, and clippings. The current phase builds on the inspection and transfer of at-risk videos and paper records related to artists with AIDS. The project will include inspecting and transferring deteriorating, obsolete analog video footage to a digital format; entering information in the Master Archive Document; identifying and transferring print and still image records; transcribing restored archival tapes; and presenting public screenings of ""Eye on Dance"" restored tapes.",2016,12,"$10,000 ",6/1/2016,5/31/2017
"Arts Resources in Collaboration, Inc.",aka ARC,Dance,Access to Artistic Excellence,10-3300-7169,New York,NY,10003-5119,"To support the Eye On Dance Archive Legacy Project. Materials in this archive, including videotapes, photographs, dance periodicals, artist notes, studies, and educational material dating back to 1976, will be organized and catalogued for easy public access.",2010,12,"$10,000 ",6/1/2010,5/31/2011
"Arts Resources in Collaboration, Inc.",aka ARC,Dance,Access to Artistic Excellence,09-3300-7166,New York,NY,10003-5119,"To support the digitization of Eye on Dance, an educational series of videotaped interviews with dancers and choreographers. The digitized sessions will be deposited in the New York Public Library Dance Research Collection.",2009,12,"$10,000 ",6/1/2009,5/31/2010
"Arts Resources in Collaboration, Inc.",aka ARC,Dance,Access to Artistic Excellence,08-3300-7141,New York,NY,10003-5119,"To support the digitization of Eye on Dance, an educational series of videotaped interviews with dancers and choreographers. The digitized sessions will be distributed nationally to libraries and universities, and broadcast on New York City PBS and cable stations.",2008,12,"$10,000 ",6/1/2008,3/31/2009
"Arts Resources in Collaboration, Inc.",aka ARC,Dance,Access to Artistic Excellence,07-3300-7146,New York,NY,10003-5119,"To support the digitization of ""Eye on Dance,"" an educational series of videotape interviews with dancers and choreographers. The digitized sessions will be prepared for national distribution to libraries and educational institutions and broadcast on New York City PBS and cable stations.",2007,12,"$10,000 ",6/1/2007,3/31/2008
"Arts Resources in Collaboration, Inc.",aka ARC,Dance,Access to Artistic Excellence,06-3300-7119,New York,NY,10003-5119,"To support the digitization of EYE ON DANCE, an educational series of interviews with dancers and choreographers. The digitized sessions will be distributed nationally to libraries and educational institutions and broadcast on New York City PBS and cable stations.",2006,12,"$10,000 ",6/1/2006,2/28/2007
"Arts Resources in Collaboration, Inc.",aka ARC,Dance,Access to Artistic Excellence,05-3300-7121,New York,NY,10003-5119,"To support the digitization of Eye on Dance, an educational series of interviews with artists. The digitized sessions will be distributed nationally to libraries and educational institutions and broadcast on PBS in the New York City tri-state area.",2005,12,"$10,000 ",6/1/2005,5/31/2006
"Arts Resources in Collaboration, Inc.",aka ARC,Dance,Heritage / Preservation,03-3300-6132,New York,NY,10003-5119,To support the restoration of EYE ON DANCE video interviews. The restored sessions will be distributed nationally to libraries and educational institutions and broadcast on PBS in the New York City tri-state area.,2003,12,"$10,000 ",6/1/2003,5/31/2004
"Arts Resources in Collaboration, Inc.",aka ARC,Dance,Heritage / Preservation,01-3300-6151,New York,NY,10003-5119,To support the restoration of EYE ON DANCE Original Sessions. The restored master sessions will be packaged along with the Eye on Dance programs and distributed nationally to libraries and educational institutions and broadcast on PBS in the New York City tri-state area.,2001,12,"$10,000 ",4/1/2001,3/31/2002
"Arts Resources in Collaboration, Inc.",aka ARC,Dance,Heritage / Preservation,99-3300-6092,New York,NY,10003-5119,"To support the restoration of deteriorating master EYE ON DANCE videotapes produced between 1987 and 1989. The restored tapes will be rebroadcast on EYE ON DANCE, distributed nationally to libraries and educational institutions, and housed at the New York Public Library Dance Collection.",1999,12,"$10,000 ",5/1/1999,5/31/2000
"Arts Resources in Collaboration, Inc.",aka ARC,Dance,Heritage / Preservation,98-3300-6009,New York,NY,10003-5119,"To support the conservation and restoration of deteriorating videotapes from 1982-87 containing the dance series, ""Eye on Dance,"" to ensure availability of this unique resource to students and scholars of dance. This is an ongoing project that to date has restored 110 of 150 videotapes of the ""Eye on Dance"" series that were shot on corrupt stock from 1982-87. The contents of many of the endangered programs is not duplicated in other media and documents many artists who are no longer living. These tapes cover the full range of aesthetics and forms in the dance field and include ballet, modern, tap, social dance and a variety of ethnic forms.",1998,12,"$10,000 ",2/1/1998,2/28/1999
"Arts Resources in Collaboration, Inc.",aka ARC,Dance,Art Works,1807954-33-18,New York,NY,10003-5119,"To support the Eye on Dance Legacy Archive and Access Project. The project will systematically organize, assess, identify, and safeguard elements of the archive for full public access. Archival measures are guided by the Archive Assessment Report action list that prioritizes the identification, assessment, and transfer of time-sensitive analog videotape. The current phase builds on the inspection and transfer of at-risk videos and paper records related to artists with AIDS and artists of color.",2018,12,"$15,000 ",6/1/2018,5/31/2019
"Arts Resources in Collaboration, Inc.",aka ARC,Dance,Art Works,14-3300-7123,New York,NY,10003-5119,"To support the Eye On Dance Archive Legacy Project. The complete archive features more than three decades of recordings from the Eye On Dance Television series of dance performances, conversations, plus countless print and visual elements including oral histories, research notes, scripts, and dance notation systems. This phase of the project will concentrate on the inspection and transfer of at-risk videos and paper records related to artists with AIDS. The project will involve the continued creation of a master document assessing and detailing the archive's remaining 250 videotapes and print and visual elements, reformatting archival videotapes, storing fragile print and photo materials, preparing the archive for public access on ARC's website, and presenting public screenings of Eye on Dance restored tapes.",2014,12,"$15,000 ",6/1/2014,5/31/2015
"Arts Resources in Collaboration, Inc.",aka ARC,Dance,Access to Artistic Excellence,11-3300-7159,New York,NY,10003-5119,"To support the continuation of the ""Eye On Dance Archive Legacy Project."" Materials in this archive include videotapes, photographs, dance periodicals, artist notes, studies, and educational material dating back to 1976.",2011,12,"$15,000 ",6/1/2011,5/31/2012
"Arts Resources in Collaboration, Inc.",aka ARC,Dance,Art Works,13-3300-7134,New York,NY,10003-5119,"To support the Eye On Dance Archive Legacy Project. The complete archive features more than three decades of recorded dance performances, conversations, plus countless print and visual elements including oral histories, research notes, scripts, and dance notation systems.",2013,12,"$20,000 ",6/1/2013,5/31/2014
"Arts Resources in Collaboration, Inc.",aka ARC,Dance,Art Works,12-3300-7127,New York,NY,10003-5119,"To support the Eye On Dance Archive Legacy Project. Materials in this archive include videotapes of dance performances and conversations, photographs, dance periodicals, artist notes, studies, and educational material dating back to 1976.",2012,12,"$25,000 ",6/1/2012,5/31/2013
"CSC Repertory, Ltd.",aka Classic Stage Company,Theater,Creativity / Presentation,01-3200-5079,New York,NY,10003-5306,To support the creation of a new theater piece. The Greek Project (Antigone) will be a new version of Sophocles' play created by choreographer-directors Annie-B Parson and Paul Lazar and playwright Mac Wellman.,2001,12,"$10,000 ",1/1/2001,12/31/2001
"Peridance Ensemble, Ltd.",aka Peridance Contemporary Dance Company,Dance,Art Works,1809041-33-18,New York,NY,10003-5306,"To support a dance residency at Stony Brook University in Long Island, New York. During the three-day residency, the company will perform a full-length repertory program at Stony Brook's Staller Center for the Arts, highlighting works by Artistic Director Igal Perry and other choreographers. The Company also will hold ballet and repertory master classes for Long Island students taught by Perry and Company members.",2018,12,"$10,000 ",9/1/2018,11/30/2018
"CSC Repertory, Ltd.",aka Classic Stage Company,Theater,Access to Artistic Excellence,06-3200-7186,New York,NY,10003-5306,"To support a tour of William Shakespeare's ""The Taming of the Shrew"" and John Fletcher's ""The Tamer Tamed"" to New York City public schools. The production will introduce students to classical theater.",2006,12,"$15,000 ",7/1/2007,6/30/2008
"CSC Repertory, Ltd.",aka Classic Stage Company,Musical Theater,Creativity / Presentation,03-2800-5016,New York,NY,10003-5306,To support workshop productions of Mac Wellman's THE INVENTION OF TRAGEDY with New York City public high school students. The work explores the invention of tragedy in 5th Century Athens which grew out of the moment when an individual stepped out from the chorus to state their own point of view.,2003,12,"$15,000 ",1/1/2003,6/30/2007
"CSC Repertory, Ltd.",aka Classic Stage Company,Theater,Creativity / Presentation,00-3200-5124,New York,NY,10003-5306,"To support the production of Ferdinand Bruckner's work ""Race"" (Die Rassen). The company has commissioned an English translation of the German play and will include the production as part of its mainstage season.",2000,12,"$15,000 ",12/1/1999,3/31/2001
"CSC Repertory, Ltd.",aka Classic Stage Company,Theater,Creativity / Presentation,98-3200-5045,New York,NY,10003-5306,"To support the commission and development of a new adaptation of Henrik Ibsen's ""Peer Gynt"" by playwright/performer Kevin Kling and translator/dramaturg Paul Walsh. CSC is seeking support to develop and produce a new adaptation of Henrik Ibsen's ""Peer Gynt,"" a classic story of a man's search for identity. Led by CSC artistic director David Esbjornson, a new translation/adaptation of this classic will be created with performer/playwright Kevin Kling and translator/dramaturg Paul Walsh. With the dramaturgical input of the translator, Walsh, each scene in the play will reveal a contemporary response to the language and ideas of the original text. Funds will be applied to the development of the script through a series of workshops and to the premiere production at CSC.",1998,12,"$15,000 ",7/1/1998,6/30/1999
"CSC Repertory, Ltd.",aka Classic Stage Company,Musical Theater,Art Works,1809204-28-18,New York,NY,10003-5306,"To support a production of Carmen Jones at Classic Stage Company, with music by George Bizet and lyrics by Oscar Hammerstein II. Directed by John Doyle, the musical is set during World War II and features an African-American cast. Although Hammerstein translated the libretto from the original French and changed the setting from 1820s Seville to 1940s America, Bizet's original score remains intact. Doyle will collaborate with orchestrator Joseph Joubert to energize Bizet's timeless score and reshape the structure of the piece to resonate with 21st-century audiences.",2018,12,"$20,000 ",6/1/2018,8/31/2018
"CSC Repertory, Ltd.",aka Classic Stage Company,Theater,Art Works,15-3200-7217,New York,NY,10003-5306,"To support the Greek Summer Festival at Classic Stage Company. Established and emerging theater artists will develop and present their interpretations of classic Greek plays, reimagined for a 21st-century audience. Plays may be accompanied with lectures, symposia, and panels from leading scholars in the field. A festival highlight may be the world premiere of a commissioned translation of Euripides' ""Iphigenia in Aulis"" by noted playwright Anne Washburn with direction by Artistic Director Brian Kulick.",2015,12,"$20,000 ",7/1/2015,9/30/2015
"CSC Repertory, Ltd.",aka Classic Stage Company,Theater,Art Works,14-3200-7184,New York,NY,10003-5306,"To support the Young Company Education Program. Students with limited access to the arts will learn about Shakespeare's relevance to their 21st-century lives. Project activities will include interactive classroom workshops, a live production at Classic Stage Company, as well as a collaborative, student-driven, mini-production of a Shakespearean play. The program is focused on underserved teens in New York City's public school system.",2014,12,"$20,000 ",7/1/2014,6/30/2015
"CSC Repertory, Ltd.",aka Classic Stage Company,Theater,Recovery Act,09-3288-7303,New York,NY,10003-5306,,2009,12,"$25,000 ",7/1/2009,6/30/2010
