address_added,city_added,state_added,zip_added,Institution,Log Number,Fiscal Year,Award,Recipient Type,Program,Program Categories,City,State,Issue Areas,The main body text
10 Grand Army Plaza, Brooklyn,NY,11238,Brooklyn Public Library,LG-00-14-0033-14,2014,"$250,000.00",Library,National Leadership Grants for Libraries,,Brooklyn,NY,STEM,"Brooklyn Public Library (BPL), in partnership with library software developer BiblioCommons (BC), will use its grant to support the implementation of a large-scale digital badging project in 2014.  Modeled on Chicago's successful Summer of Learning program in 2013, BC will provide an online badging system platform to be piloted by BPL and multiple library partners through their extensive public programs and volunteer initiatives.  The open badging aspect will create communities of like-minded individuals who can share their interests and offer opportunities to recognize subject mastery, completion of milestone events, and other accomplishments as well as advanced credentialing for skills gained and tasks achieved.  The project's potential is to establish the community library as a safe and supportive environment where children, students, and adult learners can explore the educational and occupational benefits of this new online resource."
10 Grand Army Plaza, Brooklyn,NY,11238,Brooklyn Public Library,LG-07-13-0298-13,2013,"$221,308.00",Library,National Leadership Grants for Libraries,Demonstration,Brooklyn,NY,"Community, Early Learning","Brooklyn Public Library, in partnership with the New York City Housing Authority and the Center for Educational Pathways, will implement “Read! Write! Create!,” a literacy program focused on comic book creation, which targets families with children between the ages five and nine who reside in three public housing developments and the surrounding low-income neighborhoods. The program, which supports the goals of the Campaign for Grade Level Reading and addresses literacy skills in New York State's Common Core Learning Standards, will reach 600 children and their caregivers over two years through a series of drop-in workshops. Dissemination to the profession will extend the project's benefits to additional communities."
10 Grand Army Plaza, Brooklyn,NY,11238,Brooklyn Public Library,LG-46-11-0088-11,2011,"$25,000.00",,Sparks! Ignition Grants for Libraries,,Brooklyn,NY,,"The Brooklyn Public Library will test the feasibility of a new “Virtual Information Ambassador” video reference and information service at the Welcome Desk, the library's most heavily trafficked area with nearly one million visitors each year. As visitors enter the library they will be greeted by a video screen with a live connection to one of the library's information services staff. The effectiveness of the service will be evaluated as a means of making efficient use of library staff."
10 Grand Army Plaza, Brooklyn,NY,11238,Brooklyn Public Library,RE-03-09-0038-09,2009,"$497,179.00",,Laura Bush 21st Century Librarian Program,Pre-Professional Programs,Brooklyn,NY,Community,"Brooklyn is one of the most ethnically diverse counties in the United States; nearly 37 percent of its 2.5 million residents are foreign-born. To better serve multicultural, low-income youth in this community, the Brooklyn Public Library (BPL) will establish a Multicultural Intern Program. This program will mesh with other existing BPL multilingual outreach and services, and will provide opportunities for both interns and librarians to share ideas and learn how to better serve a wide range of ethnic communities. The IMLS-funded three-year program will introduce 170 diverse local high school students to the library profession and career opportunities in libraries. Paid internships will begin with students participating in workshops, field trips, and forums during the first two months of each school year before being placed at local libraries. These will be followed by competitive paid summer internships for exceptional students who have performed well during the school year."
10 Grand Army Plaza, Brooklyn,NY,11238,Brooklyn Public Library,RE-01-04-0034-04,2004,"$536,890.00",,Laura Bush 21st Century Librarian Program,Master's Level Programs,Brooklyn,NY,,"The Brooklyn Public Library will collaborate with Pratt Institute School of Information and Library Science to develop a pilot training project called PULSE (The Public Urban Library Service Education Project), in which MLS students will experience the many career opportunities at major urban public libraries. The program will prepare the students for leadership positions and motivate them to commit to public librarianship. Twenty-one students will participate in the work/training program. Emphasis will be on recruiting racially, economically, and linguistically diverse students. Students will be offered scholarships based on need. The project will also increase the capacity of the institutions through activities such as establishing a training program and training staff as effective mentors.  Match: $417,404"
10 Grand Army Plaza, Brooklyn,NY,11238,Brooklyn Public Library,CL-00-01-0003-01,2001,"$23,000.00",,Congressionally-Directed Grants,,Brooklyn,NY,,
10 Grand Army Plaza, Brooklyn,NY,11238,Brooklyn Public Library,ND-03-01-0009-01,2001,"$239,412.00",Library,National Leadership Grants for Libraries,Preservation or Digitization,Brooklyn,NY,,
10 Grand Army Plaza, Brooklyn,NY,11238,Brooklyn Public Library,NL-30-01-0006-01,2001,"$175,654.00",Library,National Leadership Grants for Libraries,Library-Museum Collaboration,Brooklyn,NY,,"Worklore: Brooklyn Voices Speaks brings together the Brooklyn Public Library and the Brooklyn Historical Society to explore the subject of working in Brooklyn as experienced by eighteenth, nineteenth, and twentieth-century residents. The two and one half year project includes free public programs and lectures; curriculum guides for fourth, seventh, eighth, and eleventh grades; marketing and outreach materials, and the creation of a Worklore Web site to provide online access to exhibition text, images, educational materials and lectures, as well as historic narratives and contemporary oral histories."
80 Hanson Pl, Brooklyn,NY,11217,Cool Culture,MG-10-15-0063-15,2015,"$490,540.00",Museum,National Leadership Grants for Museums,Learning Experiences,Brooklyn,NY,,"Cool Culture will provide professionals from smaller or culturally specific New York City-based museums and historic sites with hands-on-training and professional development support to increase their capacity to respond to the needs of non-traditional family audiences. Children raised in poverty are at an increased risk of negative educational outcomes. Museums' sensory-rich environments can play a critical role in closing our nation's early learning gap. However, research shows that Americans living in poverty are far less likely to visit museums than their more affluent counterparts. This program will create partnerships between museums and early childhood centers to develop and test culturally responsive program models, marketing collateral, and educational materials. It will also host a forum where museum professionals will use design thinking techniques to create new culturally responsive program models and strategies. To extend the program's impact, Cool Culture will create a best practices guide for community and family engagement and disseminate it nationally, including on-line and through conference presentations."
80 Hanson Pl, Brooklyn,NY,11217,Cool Culture,MG-20-14-0053-14,2014,"$449,800.00",Museum,National Leadership Grants for Museums,Community Anchors,Brooklyn,NY,"STEM, Community, Community","Cool Culture will implement ""Strengthening Neighborhoods' Arts Access Program"" (SNAAP), a program to increase early learning outcomes through family engagement in museums. The Metropolitan Museum of Art, Brooklyn Museum, and Queens Museum of Art will serve as community anchors for 10 early learning programs each in neighborhoods of high need with families living in poverty and at high risk for low educational outcomes for children. The project will build the capacity of museums and museum educators to design developmentally appropriate and culturally responsive programming, support early learning, increase family visits to cultural institutions, and guide parents in making visits enjoyable and educational."
80 Hanson Pl, Brooklyn,NY,11217,"Cool Culture, Inc.",MP-00-11-0012-11,2011,"$244,430.00",,21st Century Museum Professionals Program,,Brooklyn,NY,"Community, Early Learning","Cool Culture helps to build connections between museums and a new audience through its ongoing collaborative work with 90 museums and 40 early childhood learning centers in the greater New York City area.  With IMLS funding Cool Culture will create a laboratory for new audiences, creating 12 new partnerships between museum educators and early childhood teachers.  Through a series of seminars, participants will be encouraged to reflect on their own practice and exchange ideas on how museum educators can align their museum's resources with community needs.  Through formal presentations, peer discussion groups, and collaborative problem solving, the three-year laboratory project will deepen museum professionals' knowledge of early childhood learning practice, outreach strategies for low income audiences, and how to align their museums' resources and programs with community needs."
99 Schermerhorn St, Brooklyn,NY,11201,Friends of the New York Transit Museum,MA-04-11-0268-11,2011,"$150,000.00",,Museums for America,Engaging Communities,Brooklyn,NY,"STEM, Community","The New York Transit Museum will enhance the visitor experience through a new long-term exhibition, “From Niagara Falls to the Third Rail: Electricity and the NYC Subway System.” This grant will help to fabricate and install he exhibition; conduct formative and summative evaluation studies focusing on audience interpretive needs, interests, and understanding; and train museum docents to lead school groups in grade-appropriate tours and hands-on activities and serve as “exhibit explainers.”  The goal is to provide a compelling, participatory educational experience for families with young children, adults, and school groups, specifically targeting fourth- and eighth-grade students studying electricity as part of the New York state science curriculum."
500 25th St, Brooklyn,NY,11232,Green-Wood Cemetery,MA-10-18-0065-18,2018,"$150,000.00",Museum,Museums for America,MFA-Learning  Experiences,Brooklyn,NY,,"Green-Wood Cemetery will deepen and enhance its educational programming for New York City schools. Project activities will include developing four new curricula which will consist of tours of Green-Wood and pre- and post-classroom activities; conducting professional development for teachers; hiring an education director and project staff; and establishing partnerships with local Title I schools. Based on a recent needs assessment, the activities will support the Common Core Learning Standards and the New York State Learning Standards for history, and will incorporate critical thinking, document analysis (using primary source items), and evidence-based reasoning. Project themes will focus on the American Revolution, the Civil War, immigration, and entrepreneurs. A developmental evaluation process will allow educators to develop a set of outcomes for themselves and the students."
500 25th St, Brooklyn,NY,11232,Green-Wood Cemetery,MA-30-14-0359-14,2014,"$42,000.00",Museum,Museums for America,Collections Stewardship,Brooklyn,NY,Collections,"Green-Wood Cemetery will hire professional conservators to conduct detailed condition surveys of its diverse collections, which includes fine art, framed items, photographs, books, and three-dimensional items. Results of the survey will establish treatment priorities and will also assist the staff as they develop a long-term collections care plan. The survey will provide the foundation for future conservation efforts including treatment methodologies, estimated costs, and housing recommendations. This project will ensure that these items will be preserved for public display, both at Green-Wood Cemetery and at partnering cultural institutions."
789 Washington Avenue, Brooklyn,NY,11238,Heart of Brooklyn Cultural Institutions,LG-30-11-0205-11,2011,"$500,000.00",Library,National Leadership Grants for Libraries,Library-Museum Collaboration,Brooklyn,NY,,"The Heart of Brooklyn (Brooklyn Botanic Garden, Brooklyn Children's Museum, Brooklyn Museum, Brooklyn Public Library, Prospect Park, and Prospect Park Zoo), along with the Center for the Study of Brooklyn, the Institute for Learning Innovation, John Shibley Consulting, and WolfBrown, are developing a model to help strengthen the collective impact of cultural institutions in meeting significant community needs. This project will create tools that enable other cultural alliances to facilitate collaborative action that will benefit their communities. An assessment of each partner's nonfinancial assets and impact will be conducted, providing a better understanding of the value that each organization provides. This project will also utilize a cross-institutional capacity-building curriculum, a new approach to community listening and to programmatic responsiveness. The Heart of Brooklyn and its community partners will develop new ""collaborative muscle,” strengthening cultural partnerships and tying them more strongly to the communities they serve."
789 Washington Avenue, Brooklyn,NY,11238,Heart of Brooklyn Cultural Institutions,LG-60-10-0212-10,2010,"$100,000.00",Library,National Leadership Grants for Libraries,Planning Grants,Brooklyn,NY,,"Heart of Brooklyn will partner with the Institute for Learning Innovation and the Center for the Study of Brooklyn to examine factors that encourage or inhibit meaningful collaborations among cultural institutions. This work will include invited expert consultants representing libraries, archives, and museum representatives from various communities across the nation. The planning activity will produce a report with realistic recommendations for successful collaborations. This report will be disseminated widely throughout the national cultural and non-profit sectors."
290 Conover St, Brooklyn,NY,11231,Hudson Waterfront Museum,CM-00-03-0009-03,2003,"$24,838.00",,Congressionally-Directed Grants,,Brooklyn,NY,,
452 Flatbush Ave, Brooklyn,NY,11225,Lefferts Homestead,ML-02-03-0307-03,2003,"$64,642.00",,Learning Opportunities Grants,,Brooklyn,NY,,"Purpose: Expanding Educational Services  Lefferts Homestead will develop procedures, programs, and exhibits that will serve as the foundation for a major new interpretation of the museum, its collections, and its grounds.  To achieve these goals, the Museum will expand access to the historic house; adapt and create new programming that includes first person interpretive exhibits; create walking tours and scripts; develop printed self-guided tours; and create new exhibits that include traveling to other venues as well as presenting onsite outdoor exhibits.  The project will also develop specific components to increase the use and appeal of the Lefferts Homestead by youth/teens, young adults, and seniors."
452 Flatbush Ave, Brooklyn,NY,11225,Lefferts Homestead,IA-00-98-0081-98,1998,"$5,290.00",,Conservation Assessment Program,,Brooklyn,NY,,
80 Hanson Pl, Brooklyn,NY,11217,Museum of Contemporary African Diasporan Arts,MH-00-12-0021-12,2012,"$108,954.00",,Museum Grants for African American History and Culture,,Brooklyn,NY,"Collections, Community","The Museum of Contemporary African Diasporan Arts Curatorial Fellowship is designed to immerse young curators of African descent in a training program that will orient them to the conceptual and vocational components of working in the curatorial field. For a year, two fellows will work full time at the museum. Fellows will focus on three areas:  organizational structure, professional development in the field, and museum curation. Fellows will work on the development and implementation of the museum exhibitions, public programming, catalogues, publicity, grant writing, and web branding. Fellows will build a professional network through artist talks, symposia, research, travel, and site visits to art organizations and artist studios. The fellowship will culminate in an exhibit curated by the fellows."
80 Hanson Pl, Brooklyn,NY,11217,Museum of Contemporary African Diasporan Arts,MH-00-10-0018-10,2010,"$108,954.00",,Museum Grants for African American History and Culture,,Brooklyn,NY,,"The Museum of Contemporary African Diasporian Arts' Emerging Curators Fellowship Program will offer four individuals the opportunity to learn the practical skills involved in the curation of exhibits. Two fellows will complete the program in each year of the two-year project, working full-time as research and administrative assistants to the museum's director of exhibitions. They will be given substantive opportunities to participate in exhibition research, development, label-writing, loan processing, publicity, and programming and will curate their own exhibitions toward the end of the program. In an effort to support successful future careers in museum practice, the project will also involve additional professional development for the fellows through site visits to other museums to meet with curators and participation in professional conferences."
80 Hanson Pl, Brooklyn,NY,11217,Museum of Contemporary African Diasporan Arts,MH-00-08-0032-08,2008,"$52,200.00",,Museum Grants for African American History and Culture,,Brooklyn,NY,,
80 Hanson Pl, Brooklyn,NY,11217,Museum of Contemporary African Diasporian Arts,MH-00-16-0019-16,2016,"$94,160.00",Museum,Museum Grants for African American History and Culture,,Brooklyn,NY,,"The Museum of Contemporary African Diasporan Arts (MoCADA) will research, design, and implement Digital MoCADA, a multimedia initiative intended to increase access to and understanding of black contemporary art and its social and political context for all of its audiences, regardless of ability, location, or educational background. The three-year project will result in interpretive audio tools for people with disabilities, with an emphasis on blind visitors; video companions to exhibitions, including curatorial context, artist interviews, and interpretation of key works; in-gallery supplementary academic and data-driven digital content related to key works; and exhibition-related digital programming available online. Digital MoCADA will enable the museum to better serve its audience through online programming, while responding to two key community needs to provide additional interpretive materials with exhibitions and to build a tighter connection between the visual arts and relevant social justice issues."
80 Hanson Pl, Brooklyn,NY,11217,Museum of Contemporary African Diasporian Arts,MA-04-12-0420-12,2012,"$120,000.00",,Museums for America,Engaging Communities,Brooklyn,NY,Community,"The Museum of Contemporary African Diasporan Arts will support “MoCADA City” a community-based initiative that provides direct services to the museum's immediate surrounding Brooklyn neighborhoods. “MoCADA City” is an innovative approach to the contemporary role of the museum. Events will include KIDflix Annual Film Festival in Fulton Park; the MoCADA Apprentice Program held at Long Island University's Brooklyn campus; Public Exchange Series in partnership with the Walt Whitman and Ingersoll Public Housing Projects in Fort Greene, Brooklyn, in conjunction with the New York City Housing Authority; and Satellite Exhibition Series, Outside of the Museum Walls. The museum will curate or co-curate five satellite exhibitions in non-traditional spaces."
602 Surf Ave, Brooklyn,NY,11224,New York Aquarium/Wildlife Conservation Society,LG-20-03-0197-03,2003,"$499,927.00",,National Leadership Grants for Museums,,Brooklyn,NY,,"Wildlife Conservation Society (WCS) seeks IMLS support to plan and create a dolphin-focused cognition exhibit at its New York Aquarium facility.  The exhibit will ultimately serve as a model for changing how dolphins and other marine mammals are exhibited and understood by the public.  Instead of showing dolphins intelligence through a series of trained behaviors, the project aims to investigate ways to connect visitors in a compelling way to the amazing cognitive, social and communicative skills of the dolphin and other marine mammals, showing the scientific research underlying it.  The museum hopes to inspire increased interest in the animals, the oceans and science in general while simultaneously fostering a more positive attitude toward preserving life in the seas. The museum seeks IMLS funding for extensive evaluation and planning on appropriate messages, technology and media, by the development and testing of software, content and presentation delivery systems that will most effectively promote learning of science.  By testing a broad spectrum of concepts, technologies and presentation designs with multiple audiences, WCS will be able to ascertain what the most effective vehicles are for creating greater understanding of dolphins, other marine mammals and science in general."
99 Schermerhorn St, Brooklyn,NY,11201,New York Transit Museum,MA-10-14-0131-14,2014,"$150,000.00",Museum,Museums for America,Learning  Experiences (NLG-Museums),Brooklyn,NY,"STEM, Community","New York Transit Museum will develop and implement the ""Bringing Back the City: Transportation First Responders"" exhibition to show how New York City recovered following four recent crises: the terrorist attacks of September 11, 2001, the blackout of 2003, Hurricane Irene in 2011, and Superstorm Sandy in 2012. The exhibit will use interactive technology and multimedia displays to allow audiences to see and hear transit workers' stories describing their jobs during those four historic events, accompanied by transit equipment and samples of the specialized tools workers used to restore transportation services. This project will demonstrate to visitors how past disasters can inform future disaster response, how STEM (Science, Technology, Engineering, and Math) is fundamental in transit jobs, and the critical role transit workers play in a city's recovery from disaster."
99 Schermerhorn St, Brooklyn,NY,11201,New York Transit Museum,MA-01-06-0358-06,2006,"$101,407.00",,Museums for America,Sustaining Cultural Heritage,Brooklyn,NY,,
99 Schermerhorn St, Brooklyn,NY,11201,New York Transit Museum,IM-03-00-0013-00,2000,"$2,970.00",,Museum Assessment Program,Public Dimension,Brooklyn,NY,,
200 Willoughby Ave, Brooklyn,NY,11205,Pratt Institute,LG-72-17-0179-17,2017,"$49,650.00",Library,National Leadership Grants for Libraries,National Digital Platform - Planning Grant,Brooklyn,NY,,"The School of Information at Pratt Institute will develop a prototype of DADAlytics, a modular tool that performs supervised entity extraction from archival documents for generating linked open datasets, lowering barriers to entry for institutions seeking to create linked open data from archival materials. This project will build on previous work to develop the Linked Jazz Transcript Analyzer, extending that tool's functionality and making it more widely available for use by other institutions. Grant funds will support the research and data gathering needed to inform the redesign and reengineering of the tool, including an environmental scan, a series of meetings with key stakeholders and the development of a prototype."
200 Willoughby Ave, Brooklyn,NY,11205,Pratt Institute,RE-01-10-0018-10,2010,"$971,407.00",,Laura Bush 21st Century Librarian Program,Master's Level Programs,Brooklyn,NY,,"Project CHART (Cultural Heritage, Access, Research and Technology) is a three-year partnership among the Pratt Institute, the Brooklyn Public Library, Brooklyn Museum, and Brooklyn Historical Society designed to prepare 18 master's students for leadership roles as digital managers and curators in libraries, museums, and archives. Students, who will receive tuition scholarships, will graduate with a Master of Library and Information Science having completed an 18-credit program in digital management. The program includes internships at partner institutions where students will digitize Brooklyn photographs and produce a public Web site featuring the digitized images."
200 Willoughby Ave, Brooklyn,NY,11205,Pratt Institute,RE-01-08-0012-08,2008,"$756,324.00",,Laura Bush 21st Century Librarian Program,Master's Level Programs,Brooklyn,NY,,"The Pratt School of Information and Library Science and the Brooklyn Museum will recruit and provide scholarships to a highly diverse group of 30 students, educating them for careers in museum librarianship in the digital age. Students will take classes at Pratt and intern at the Brooklyn Museum, and will receive their MSLIS and a certificate in museum librarianship. The partners will also produce and widely disseminate a study on the current state of museum library education."
33 Clinton St, Brooklyn,NY,11201,Rotunda Gallery,MA-02-05-0407-05,2005,"$97,487.00",,Museums for America,Supporting Lifelong Learning,Brooklyn,NY,,
33 Clinton St, Brooklyn,NY,11201,Rotunda Gallery,IG-00-01-0112-01,2001,"$69,408.00",,General Operating Support,,Brooklyn,NY,,
33 Clinton St, Brooklyn,NY,11201,Rotunda Gallery,IG-00-98-0702-98,1998,"$42,990.00",,General Operating Support,,Brooklyn,NY,,
158 Buffalo Ave, Brooklyn,NY,11213,Society for the Preservation of Weeksville and Bedford-Stuyvesant History,MH-00-13-0032-13,2013,"$150,000.00",,Museum Grants for African American History and Culture,,Brooklyn,NY,Community,"The Weeksville Heritage Center (WHC) will use its grant to hire a resource center manager and an oral history assistant. These positions will play critical roles in operating the 5th of July Resource Center, a research center for African American, Caribbean, and African history housed in WHC's new Education and Cultural Arts Building. With the opening of the 5th of July Resource Center, WHC will be able to provide public access to its important research resources for the first time in its forty-year history."
158 Buffalo Ave, Brooklyn,NY,11213,Society for the Preservation of Weeksville and Bedford-Stuyvesant History,MH-00-11-0001-11,2011,"$150,000.00",,Museum Grants for African American History and Culture,,Brooklyn,NY,"Collections, Community","The Society for the Preservation of Weeksville and Bedford-Stuyvesant History preserves several historic structures along with a new LEED-certified (Leadership in Energy & Environment Design) education and cultural arts building at the Weeksville Heritage Center.  IMLS funding will allow the organization to hire a LEED-trained facilities manager with the skills necessary to operate the new Education and Cultural Arts Building and the ability to continue the preservation of the historic structures at Weeksville. The facilities manager will compile a best-practices document about effective and sustainable methods of managing historic properties and new facilities. The facilities manager will also oversee restoration projects for the historic houses and repurpose and outfit exhibition space and collection storage options. In addition, IMLS funds will provide opportunities for internal staff development and a case study for other African American historic sites interested in expanding their space and community relevance."
158 Buffalo Ave, Brooklyn,NY,11213,Society for the Preservation of Weeksville and Bedford-Stuyvesant History,MA-04-10-0087-10,2010,"$142,500.00",,Museums for America,Engaging Communities,Brooklyn,NY,,"The Society for the Preservation of Weeksville and Bedford-Stuyvesant History, a.k.a. Weeksville Heritage Center (WHC), will design, fabricate, and install a visitor orientation exhibition titled “Defining a Sense of Place.” This interactive exhibition will orient visitors to the campus and present information about the historic Weeksville community and the Historic Hunterfly Road Houses. Through objects from WHC's collection and digital interactive timeline, maps, and oral histories, the exhibition will immerse the visitor in the positive contributions everyday African Americans have made to the development of Brooklyn and the United States. “Defining a Sense of Place” will open to the public in October 2011."
158 Buffalo Ave, Brooklyn,NY,11213,Society for the Preservation of Weeksville and Bedford-Stuyvesant History,MA-06-09-0321-09,2009,"$113,000.00",,Museums for America,Building Institutional Capacity,Brooklyn,NY,Community,"The Weeksville Heritage Center will use its IMLS award to hire a full-time education manager. The education manger will provide professional development for the program team, develop and execute the plans for the museum's new resource cCenter, create a curriculum that will be disseminated to schoolchildren across the country, and develop new education programs to better serve the community."
158 Buffalo Ave, Brooklyn,NY,11213,Society for the Preservation of Weeksville and Bedford-Stuyvesant History,MH-00-09-0020-09,2009,"$150,000.00",,Museum Grants for African American History and Culture,,Brooklyn,NY,"Collections, Community","In preparation for the opening of its new Education and Cultural Arts Building in 2011, the Weeksville Heritage Center will promote from within to establish a new department and the new position of director of preservation and collections. A fully functioning department of Preservation and Collections will result in a greater focus on historic preservation, collections, and preservation education for the community while dramatically increasing the use of objects and artifacts in the interpretation of this site—one of the first free African American communities in the nation. IMLS funds will also support graduate education courses for the senior education programs curator at Bank Street College."
158 Buffalo Ave, Brooklyn,NY,11213,Society for the Preservation of Weeksville and Bedford-Stuyvesant History,MH-00-06-0023-06,2006,"$39,675.00",,Museum Grants for African American History and Culture,,Brooklyn,NY,,"The Weeksville Heritage Center will strengthen its institutional capacity by professionalizing its collections practices.  As the only museum interpreting African American history in the 19th and 20th century in the Northeast, Weeksville Heritage Center seeks to preserve its collections, while identifying ways to use them more effectively in exhibits and programs.  Funding will support the creation of a part-time position of Collections Manager, who will be responsible for evaluating the 450 artifacts in the center's collections, developing and implementing a collections management policy, overseeing the initiation of an environmental monitoring system, and collaborating with program staff to utilize collections more effectively in public programming.  The environmental monitoring system will utilize specialized equipment to monitor temperature and humidity in the historic structures since it is impossible to install modern HVAC units in these buildings."
80 Hanson Pl, Brooklyn,NY,11217,"StoryCorps, Inc.",RE-40-16-0094-16,2016,"$249,999.00",Library,Laura Bush 21st Century Librarian Program,Continuing Education,Brooklyn,NY,,"StoryCorps will develop a set of web-based interactive tools and an app to help librarians use digital technology to engage with diverse constituents and develop unique and wide-ranging community documentation projects. The project will expand on StoryCorps existing resources and make them more readily accessible to more libraries as interested libraries can use the web-based resources to receive training in StoryCorps' methods. In addition, the new app will provide libraries with a low-cost method for people to record, preserve, and share interviews as libraries will no longer have to buy their own recording equipment or borrow equipment from StoryCorps to record stories. Particular emphasis will be placed on creating customized tools for small, rural, and tribal libraries to support outreach and interview collection in the communities served by these institutions. The project will offer interactive workshops about the tools at the annual Association of Tribal Archives, Libraries and Museums conference and the annual Association of Rural and Small Libraries conference."
80 Hanson Pl, Brooklyn,NY,11217,"StoryCorps, Inc.",LG-00-15-0265-15   ,2015,"$125,000.00",Library,National Leadership Grants for Libraries,Learning Spaces in Libraries,Brooklyn,NY,,"The project will send two trained StoryCorps facilitators to each of the National Medal-winning museums and libraries, as chosen by IMLS. At each institution, StoryCorps will record up to 18 stories, each with two participants who know one another well. Each institution will receive one professionally-edited audio segment developed from an interview that the StoryCorps team and the institution determine to be particularly strong. By the end of the project StoryCorps will record up to 180 stories and produce 10 professionally edited segments to be featured through IMLS media. The project provides IMLS National Medal recipients with a unique way to engage with their local communities, and it adds to a rich archive of stories preserved at the American Folklife Center at the Library of Congress."
157 Montague St., Brooklyn,NY,11202,Toy Museum of New York,MA-11-14-0494-14,2014,"$25,000.00",Museum,Museums for America,Learning  Experiences (NLG-Museums),Brooklyn,NY,"Community, Community","The Toy Museum of New York will expand its distance education programming, add interactive ""webisodes"" to its website, and enhance programs aligned to the Common Core Learning Standards to prepare the museum to expand its reach and impact nationwide. The project will support enhanced museum technology, align programs with curriculum standards, and promote lifelong learning for senior citizen groups, families, and toy collectors nationwide. In addition, the project will increase the use of technology for informal learning through lessons by providing a pathway to virtual field trips and web-based videos within instructional settings."
158 Buffalo Ave, Brooklyn,NY,11213,Weeksville Heritage Center,MA-21-16-0433-16,2016,"$25,000.00",Museum,Museums for America,MFA-Community Anchors 25K,Brooklyn,NY,,"Weeksville Heritage Center will facilitate Who Holds The Mic?, a twice-weekly afterschool workshop aimed at exposing youth to history, cultural expression, and artistic creation. The program will focus primarily on youth living in six New York City Housing Authority housing developments with a large population of African-Americans, Caribbean Americans, and some Hispanic Americans, and is in response to the museum's programming shift towards youth development and strengthening ties to these nearby housing developments. Activities include creation of collateral, facilitation of the afterschool program; activation of the Weeksville Oral Historian program to interview and record stories from youth as they participate in the project; and showcasing the work produced during the workshops in Weeksville's performance space. The project's success will be measured through workshop attendance, rate of program growth and attrition, and final participation in the showcase.  "
5816 Clarendon Rd, Brooklyn,NY,11203,Wyckoff House Museum,IA-00-02-0088-02,2002,"$6,370.00",,Conservation Assessment Program,,Brooklyn,NY,,
34-56 107th St, Corona,NY,11368,Louis Armstrong House Museum,MA-05-12-0295-12,2012,"$42,305.00",,Museums for America,Collections Stewardship,Corona,NY,Collections,"The Louis Armstrong House Museum will arrange, preserve, catalogue, and make available to the public the contents of the recently acquired Gösta Hägglöf Collection of Armstrong material. Approximately 192 cubic feet in extent and covering at least four decades, the collection is especially strong in European concert recordings, news clippings, periodicals, photographs, and correspondence. The work will be supported by interns from the Queens College Graduate School of Library Studies and the College's Aaron Copland School of Music. Once the materials are processed, the museum will make them available to researchers, students, scholars, and the general public via its website. The materials may also be exhibited and, when appropriate, lent to other organizations."
47-01 111th St, Corona,NY,11368,New York Hall of Science,AM-00-15-0004-15,2015,"$5,000.00",,National Medal for Museum and Library Service,,Corona,NY,Community,"NYSCI was founded at the 1964–65 World's Fair and has evolved into New York's center for interactive science, serving a half million students, teachers and families each year. NYSCI offers exhibits and programs designed to deepen visitor engagement and inspire youth to pursue careers in science, technology, engineering and math (STEM). Significant projects include NYSCI Neighbors, a multifaceted initiative that engages more than 16,000 local participants, and the Science Career Ladder, a program that employs high school and college students to engage visitors on the museum's floor."
47-01 111th St, Corona,NY,11368,New York Hall of Science,MG-10-15-0082-15,2015,"$448,728.00",Museum,National Leadership Grants for Museums,Learning Experiences,Corona,NY,,"The New York Hall of Science, along with three partner science museums, will leverage its expertise in making and design-based learning to provide professional development and online resources for informal educators in libraries and other community settings. There is growing interest among a broad range of informal education institutions in using these techniques to transform learning in science, technology, engineering, and math—areas of education critical for the nation's future. This project will create community-based networks of museums, libraries, and out-of-school organizations interested in design-based learning, develop professional development for staff at these informal learning environments, foster design based learning projects, and develop robust online resources. The project will expand opportunities for young people to experience design-based learning STEM activities in libraries and other out of-school, informal learning settings; build capacity among informal education professionals to teach STEM in these out-of-school settings; and develop a model for empowering informal educators to teach using design-based learning activities."
47-01 111th St, Corona,NY,11368,New York Hall of Science,LG-47-12-0385-12,2012,"$100,000.00",,Learning Labs,,Corona,NY,STEM,"The New York Hall of Science in Queens, New York, will plan and prototype a youth-centered, community-engaged Digital Making program within the museum's new Cognizant Maker Space. Digital Making is a program that will empower diverse groups of middle- and high-school youth to investigate and communicate science, technology, engineering, and math (STEM) topics through digital media including sound, video, and games. The programs will be generated by museum staff, makers in the community, and community organizations. The target population for this project is the museum's local Queens neighborhood, which includes vibrant communities of first- and second-generation Americans. The Digital Making program hopes to ensure these students have the clearest possible pathway to futures in the sciences, technology, engineering and mathematics, and can participate as fully informed citizens."
47-01 111th St, Corona,NY,11368,New York Hall of Science,MA-04-11-0441-11,2011,"$115,866.00",,Museums for America,Engaging Communities,Corona,NY,"STEM, Community, Community","The New York Hall of Science, in partnership with the Queens Museum of Art, will begin “Queens Makes,” a program to foster invention, experimental problem solving, design, and building for young tinkerers and their families. This initiative leverages the museum's commitment to hosting the annual World Maker Faire event by engaging the diverse communities of Queens, NY. “Queens Makes” will create ongoing weekend programming to extend the spirit of World Maker Faire by partnering with the local Latino, Asian, and Caribbean communities, and encouraging them to engage with the museum as a place to showcase their talents and passions. The enrichment of science content and programming through community participation will heighten the quality of the educational experience and enable makers, visitors, and staff to see firsthand how blending arts and science can spark creativity, inventiveness, discovery, and innovation."
