Institution,Log Number,Fiscal Year,Award,Recipient Type,Program,Program Categories,City,State,Issue Areas,The main body text
New York Botanical Garden,MA-10-13-0430-13,2013,"$113,167.00",,Museums for America,Learning  Experiences (NLG-Museums),Bronx,NY,"STEM, Community, Community, Early Learning","The New York Botanical Garden will undertake a two-year project to develop, implement, and evaluate new edible gardening programs and to measure the effectiveness of existing programs. This project will help the garden expand its gardening initiatives, culminating in the opening of a new year-round edible gardening complex that will be known as The Edible Academy. Scheduled to open in early 2015, The Edible Academy will expand the footprint of the existing Ruth Rea Howell Family Garden through additional gardening space, new classrooms, and a greenhouse. The garden's programming will increase from six months per year to year-round, which will double the number of people served by edible gardening programs to approximately 80,000 visitors."
New York Botanical Garden,MA-04-12-0243-12,2012,"$132,000.00",,Museums for America,Engaging Communities,Bronx,NY,STEM,"New York Botanical Garden's Everett Children's Adventure Garden opened in 1998 to teach children (aged seven to twelve) fundamental lessons in plant science. The garden has 12 acres of indoor and outdoor inquiry-based learning galleries, hands-on interactive exhibits, immersive natural environments, and programming. The New York Botanical Garden will conduct a detailed and comprehensive one-year evaluation study of the garden. The goals of the project include completing a thorough evaluation of the existing exhibit and landscape, researching the emerging theory that STEM (Science, Technology, Engineering, and Math) experiences can occur in a nature play setting, and evaluating the effectiveness of proposed new exhibits and space design. The proposed project will serve three core audiences: parents/caregivers and their children, teachers and students, and teen docents."
Bronx Museum of the Arts,MA-04-11-0071-11,2011,"$149,000.00",,Museums for America,Engaging Communities,Bronx,NY,Community,"The Bronx Museum of the Arts, founded in 1971 and the sole contemporary art museum in the Bronx, will hire two staff members to engage the community in the planning of events, recruiting them as ambassadors for the museum and increasing their participation and involvement in community programs. The newly created department will generate and promote a series of programs based on current exhibitions as well as community interests, and implement outreach and communication strategies that are appropriate to each target audience. Anticipated grant outputs over the three-year grant are 25 pilot community programs and 300 free tours and workshops for public schools in the Bronx. Additionally, the museum will position itself as a stronger and more vital catalyst for community engagement and transformation, while making a lasting investment in the community."
Lehman College Art Gallery,MA-04-11-0092-11,2011,"$150,000.00",,Museums for America,Engaging Communities,Bronx,NY,,"The Lehman College Art Gallery will begin a project called “Community Arts Connections” to sustain the gallery's existing “High School Partnerships” program, expanding it to include middle schools. The program will offer a credit-bearing teacher training course geared for elementary and middle-school teachers, provide extended weekend programs for families and children up to age 8, and offer a range of community outreach programs for adult visitors. IMLS funds will support project activities such as gallery tours, art workshops, after-school workshops, a college mentor program, an intern program, a portfolio program, professional development sessions, an intensive two-week teacher training course, bilingual (English/Spanish) weekend workshops, public art tours, and artists' talks and demonstrations."
Wildlife Conservation Society,MA-04-11-0417-11,2011,"$138,996.00",,Museums for America,Engaging Communities,Bronx,NY,Community,"The Bronx Zoo will develop and design a new children's exhibition called “Safari Adventure.” The project provides an introduction to wildlife for children in the Bronx, and throughout the metropolitan area of New York, many of whom have little contact with nature. The exhibit will have two learning goals: 1) adults will learn how important it is for children to spend time in nature, become more aware of green spaces in the community, and more informed about how they can help wildlife; and 2) children will make connections between the animals in Africa and the animals in their everyday lives and learn about different ways to care for animals."
New York Botanical Garden,MA-04-11-0438-11,2011,"$150,000.00",,Museums for America,Engaging Communities,Bronx,NY,Community,"The New York Botanical Garden will use its funding to develop and implement a 2012 exhibition, “Monet's Garden: Impressions of Giverny.” The exhibition, scheduled to run between May 19 and October 21, 2012, will explore the importance of plants and gardens as a source of inspiration for artists in general and for Claude Monet in particular. Visitors will learn that Monet's art was inspired by nature and that his garden was shaped by his art. Located in venues throughout the Garden's National Historic Landmark grounds, including the Enid A. Haupt Conservatory and the LuEsther T. Mertz Library, “Monet's Garden” will provide insight into Giverny's creation, design, and impact on art and gardening."
New York Botanical Garden,AM-00-10-0005-10,2010,"$10,000.00",,National Medal for Museum and Library Service,,Bronx,NY,Community,"Thousands of plants, herbs, fruits, vegetables, and trees thrive on 250 acres of preserved green space carefully cultivated and maintained by the New York Botanical Garden. An advocate for the plant kingdom, the Garden uses its expertise and facilities to present programs, events, exhibitions, and classes that emphasize the importance of environmental conservation, healthy living, and science education, as well as strengthen the community. Twenty-two years ago, the Bronx was overrun with abandoned lots and buildings, and neighborhoods were losing their sense of community. To help transform the community, the Garden piloted Bronx Green-Up, a horticulture outreach program that works with community groups to beautify, stabilize, and revitalize urban neighborhoods by planting public gardens in abandoned spaces."
Wildlife Conservation Society,MA-04-10-0256-10,2010,"$149,991.00",,Museums for America,Engaging Communities,Bronx,NY,"STEM, Community","The Wildlife Conservation Society's Bronx Zoo has developed a well-regarded distance-learning program called “Distance-learning Expeditions” that features live, instructor-led videoconferencing sessions with school classrooms across the U.S. The zoo will use its grant to sustain and enhance this program. The program enables students to “travel” beyond school walls to learn about the earth, the environment, and the tremendous diversity of life on our planet. In addition to live, close-up views of many of the zoo's most charismatic animals, the sessions include a variety of small-group studies and problem-solving activities. “Distance-learning Expeditions” has been shown through evaluations to be highly effective at engaging students in environmental science learning."
New York Botanical Garden,MA-05-10-0504-10,2010,"$111,038.00",,Museums for America,Collections Stewardship,Bronx,NY,,"The New York Botanical Garden will incorporate the Kohlmeyer Herbarium of Marine Fungi into the William and Lynda Steere Herbarium. The Kohlmeyer Herbarium is an invaluable collection of 6,000 dried and fluid-preserved specimens of marine fungi and 17,500 permanent microscopic slides. The project will help to protect a unique, extraordinarily well documented and scientifically relevant collection and make it available to the scientific community through direct consultation and online via the C.V. Starr Virtual Herbarium. These data will be the reference point for all future work on marine fungi, including their identification and evolution, as well as the key to understanding the role of these organisms in marine and estuarine environments. By organizing data in a standardized format, the project will facilitate the interpretation of information across multiple institutions and support wide-scale scientific collaborations."
Lehman College Art Gallery,MA-04-08-0044-08,2008,"$150,000.00",,Museums for America,Engaging Communities,Bronx,NY,,
Wave Hill,MA-04-08-0101-08,2008,"$124,375.00",,Museums for America,Engaging Communities,Bronx,NY,,
Bronx Museum of the Arts,MA-04-08-0123-08,2008,"$150,000.00",,Museums for America,Engaging Communities,Bronx,NY,,
New York Botanical Garden,MA-05-08-0011-08,2008,"$147,249.00",,Museums for America,Collections Stewardship,Bronx,NY,,
Wildlife Conservation Society,LG-50-07-0201-07,2007,"$29,775.00",Library,National Leadership Grants for Libraries,Planning Grants,Bronx,NY,,"The Wildlife Conservation Society, in partnership with Poet's House, will build on an earlier IMLS-funded project that brought poetic expression to the Central Park Zoo by hiring a poet-in-residence who assisted with the development of zoo signage and contributed innovative language to visual resources to promote conservation. The planning project will extend this concept to five diverse communities across the country, tentatively identified as New Orleans, Louisiana; Salt Lake City, Utah; Milwaukee, Wisconsin; Little Rock, Arkansas; and Jacksonville, Florida. The planning project will engage libraries in each community with a local zoo and help them to develop partnerships that promote conservation and draw on local strengths and resources."
New York Botanical Garden,MA-01-07-0403-07,2007,"$140,000.00",,Museums for America,Sustaining Cultural Heritage,Bronx,NY,,
Wildlife Conservation Society,MA-03-07-0016-07,2007,"$150,000.00",,Museums for America,Serving as Centers of Community Engagement,Bronx,NY,,
New York Botanical Garden,MA-02-06-0129-06,2006,"$150,000.00",,Museums for America,Supporting Lifelong Learning,Bronx,NY,,
Wildlife Conservation Society,MP-00-06-0030-06,2006,"$340,620.00",,21st Century Museum Professionals Program,,Bronx,NY,,"The Wildlife Conservation Society's Bronx Zoo will partner with Miami's Metrozoo, Chicago's Brookfield Zoo, and Tucson's Reid Park Zoo to disseminate a successful educational program to other institutions throughout the nation.  SPARKS—Supporting Parents in Advocacy, Reform and Knowledge in Science—has proven to be highly effective in helping museums redefine their relationships with parents and assume a more central role in meeting the educational needs of working families.  Funding will support the establishment of SPARKS at 28 other zoos, museums, and science centers, where parents can engage their children in hands-on science learning.  The project will provide museum professionals with the skills to train parents in effective teaching strategies.  Funding will also support Family Science Fairs at host institutions to enable parents to share the experience of shared learning with the broader community.  The project will also include a technical assistance program and a hotline that will foster a long-term peer support network for museum professionals."
New York Botanical Garden,CM-00-05-0063-05,2005,"$496,000.00",,Congressionally-Directed Grants,,Bronx,NY,,
Bronx Museum of the Arts,IA-00-05-0093-05,2005,"$4,430.00",,Conservation Assessment Program,,Bronx,NY,,
Wildlife Conservation Society,LG-25-05-0102-05,2005,"$996,236.00",,National Leadership Grants for Museums,Research,Bronx,NY,,"The Wildlife Conservation Society will work with research evaluators from the American Zoo and Aquarium Association (AZA), as well as experts in market forecasting and metrics development, to develop an assessment tool that will enhance the Society's understanding of how the general public values visits to zoos and aquariums. A variety of methods and tools such as a symposium, focus groups, and case studies will be used to test this new metric and assess its full potential. The results from these studies will be tabulated and disseminated to the AZA community through workshops, handouts, and presentations to allow organizations to adopt this new evaluative tool. Expected outcomes from this research include determining the value of zoos and aquariums to the community and their role in culture, increasing literacy in the profession regarding the long-term community benefit, and increasing effectiveness of park evaluation, and providing practical strategies for assessing exhibit and program planning in relation to long-term community benefits."
New York Botanical Garden,MA-02-05-0133-05,2005,"$150,000.00",,Museums for America,Supporting Lifelong Learning,Bronx,NY,,
Lehman College Art Gallery,MA-03-05-0005-05,2005,"$107,161.00",,Museums for America,Serving as Centers of Community Engagement,Bronx,NY,,
New York Botanical Garden,CM-00-04-0072-04,2004,"$397,640.00",,Congressionally-Directed Grants,,Bronx,NY,,
New York Botanical Garden,IC-05-04-0055-04,2004,"$17,250.00",,,Provision of Optimum Environment,Bronx,NY,,"To rehouse the Garden's more than 10,000 plans in its Lord and Burnham Collection of Architectural Drawings and Prints in steel flat files, and to purchase conservation supplies.   Applicant Match: $51,771."
Wildlife Conservation Society,MA-03-04-0616-04,2004,"$150,000.00",,Museums for America,Serving as Centers of Community Engagement,Bronx,NY,,"Purpose: Serving as Centers of Community Engagement  The world's largest urban zoo-the Bronx Zoo-is one of five education and conservation centers operated by the Wildlife Conservation Society. Over the past five years, the zoo has developed a pioneering parent-involvement program called Project SPARKS (Supporting Parents in Advocacy, Reform, and Knowledge about Science). The SPARKS pilot, which ended in September 2003, was highly effective in engaging parents in support of their children's science education. The program consisted of two primary components: (1) a series of workshops that prepared parents to engage their children in science learning and support their children's school science education and (2) a series of Family Science Fairs at the zoo that enabled the workshop graduates to teach thousands of other parents about the importance of science literacy, the need for parental engagement, and the crucial role museums play in augmenting science education. In this project, the Bronx Zoo will expand the SPARKS pilot to involve the entire New York City Department of Education Instructional Region I, which encompasses 109 schools and more than 93,000 students in the Bronx."
"Wildlife Conservation Society, Central Park Zoo",LG-30-03-0255-03,2003,"$73,398.00",Library,National Leadership Grants for Libraries,Library-Museum Collaboration,Bronx,NY,,"New York City's Central Park Zoo and Poets House, the world's largest library devoted exclusively to poetry, will bring poetry to the zoo.  The project will create a poet-in-residence program at the zoo to integrate poetry into the exhibitions and gardens throughout the facility in order to increase public understanding of zoological information and animal conservation."
New York Botanical Garden,CM-00-03-0054-03,2003,"$496,750.00",,Congressionally-Directed Grants,,Bronx,NY,,
Wildlife Conservation Society,LG-22-03-0288-03,2003,"$250,000.00",,National Leadership Grants for Museums,,Bronx,NY,,"The Wildlife Conservation Society proposes a project, at its Bronx Zoo site, to offer professional development for educators at small, informal science institutions, such as zoos, nature centers, aquariums, botanical gardens, and other museums with a life-science focus.  As part of this professional development, these informal science institutions will work with local school districts to offer teacher training that enhances teaching of the life sciences.  The project consists of two components.  First, the grantee will offer an intensive training institute for educators from small science museums that will prepare them to implement professional development programs for middle-school teachers.  Then, will offer technical assistance, centering on program planning, as the educators implement the teacher development activities.  The project provides a national model for the involvement of small, but resource-rich science museums in science education."
New York Botanical Garden,IC-04-02-0035-02,2002,"$50,000.00",,,Treatment of Collections,Bronx,NY,,"To conduct a detailed condition survey of approximately 3,000 pieces of original art in the Garden's Art and Illustration Collection.  The pieces will then be rehoused in protective enclosures."
New York Botanical Garden,CM-00-01-0024-01,2001,"$85,000.00",,Congressionally-Directed Grants,,Bronx,NY,,
New York Botanical Garden,IG-00-01-0278-01,2001,"$112,500.00",,General Operating Support,,Bronx,NY,,
Bronx Museum of the Arts,IM-03-01-0198-01,2001,"$2,970.00",,Museum Assessment Program,Public Dimension,Bronx,NY,,
Bronx Zoo,NO-00-01-0028-01,2001,"$418,150.00",,National Leadership Grants for Museums,Museums Online,Bronx,NY,,
New York Botanical Garden,IC-00-00-0120-00,2000,"$50,000.00",,,,Bronx,NY,,
Bronx Zoo,IG-00-00-0153-00,2000,"$112,500.00",,General Operating Support,,Bronx,NY,,
Lehman College Art Gallery,NO-00-00-0017-00,2000,"$72,800.00",,National Leadership Grants for Museums,Museums Online,Bronx,NY,,
New York Botanical Garden,IG-00-99-0089-99,1999,"$112,500.00",,General Operating Support,,Bronx,NY,,
Lehman College Art Gallery,IG-00-99-0374-99,1999,"$71,400.00",,General Operating Support,,Bronx,NY,,
Bronx Zoo,IG-00-98-0866-98,1998,"$112,500.00",,General Operating Support,,Bronx,NY,,
Bronx Zoo,IL-00-98-0039-98,1998,"$50,000.00",,National Leadership Grants for Museums,Museums in the Community,Bronx,NY,,"The Bronx Zoo and Homes for the Homeless will work together to provide an after-school program entitled, After-School Adventures in Wildlife Science.  The life science program will be developed to meet the special educational and emotional needs of homeless students and their families.  Children from some 80 homeless families in the South Bronx will receive essential academic knowledge and skills that they need to succeed in school and break the cycle of homelessness. *Awarded under Museum Leadership Initiatives program - now part of National Leadership Grants for Museums"
New York Botanical Garden,IC-00-97-0047-97,1997,"$50,000.00",,,,Bronx,NY,,
Lehman College Art Gallery,IG-00-97-0959-97,1997,"$63,400.00",,General Operating Support,,Bronx,NY,,
Green-Wood Cemetery,MA-10-18-0065-18,2018,"$150,000.00",Museum,Museums for America,MFA-Learning  Experiences,Brooklyn,NY,,"Green-Wood Cemetery will deepen and enhance its educational programming for New York City schools. Project activities will include developing four new curricula which will consist of tours of Green-Wood and pre- and post-classroom activities; conducting professional development for teachers; hiring an education director and project staff; and establishing partnerships with local Title I schools. Based on a recent needs assessment, the activities will support the Common Core Learning Standards and the New York State Learning Standards for history, and will incorporate critical thinking, document analysis (using primary source items), and evidence-based reasoning. Project themes will focus on the American Revolution, the Civil War, immigration, and entrepreneurs. A developmental evaluation process will allow educators to develop a set of outcomes for themselves and the students."
BRIC Arts Media Brooklyn,MA-10-18-0075-18,2018,"$150,000.00",Museum,Museums for America,MFA-Learning  Experiences,Brooklyn,NY,,"BRIC will launch Project New stART, an initiative to increase student interest in looking at, discussing, and creating art and media. The program will serve 6th-12th grade students by placing teaching artists in 12 schools in East New York, Brownsville, and Bedford-Stuyvesant. These three Central Brooklyn neighborhoods experience disproportionately high rates of gun violence and are home to several schools with high populations of students at risk of entering the juvenile justice spectrum or already moving along that spectrum, and the majority of public schools lack full or part-time arts teachers and consequently have a dearth of creative opportunities for young people. The program will provide school-based and community-based visual and media literacy and learning through contemporary art and media residencies combined with a variety of events at BRIC House as a strategy for redirecting the school to prison pipeline in the targeted neighborhoods. The project will reach 720 middle-school and high-school students over 432 total residency days."
Brooklyn Botanic Garden,MA-10-18-0463-18,2018,"$250,000.00",Museum,Museums for America,MFA-Learning  Experiences,Brooklyn,NY,,"The Brooklyn Botanic Garden will establish a new institution-wide baseline for inclusively welcoming and serving visitors with special needs. The project will address priorities for increasing accessibility and inclusiveness at the garden identified in prior work with community members, by past professional assessments, and learnings from new pilot programs. Project activities will include additional assessment, technical assistance, resource development, and the establishment of a new Best Practices Working Group. A part-time access coordinator will also be hired. The garden will train staff and instill best practices in welcoming and serving visitors and learners through a diverse range of activities. Staff will also create new tools and communications to welcome audiences, develop new specialized programs, and improve current programs to increase inclusivity. Tangible project deliverables will include a website fully accessible to a range of assistive technologies, new pre-visit tools, interpretive and wayfinding materials, and new signage."
Brooklyn Public Library,RE-95-17-0046-17,2017,"$494,223.00",Library,Laura Bush 21st Century Librarian Program,,Brooklyn,NY,,"Brooklyn Public Library (BPL) will create a pre-professional internship program that will engage 180 diverse high school students in learning about the field of library and information services through hands-on work experience at the system's 59 branches. The three-tiered, sequential, paid internship program will include a six-month school-year program (Tier 1), a two-month summer program (Tier 2) and a nine-month peer-leadership program (Tier 3). Students will learn about careers in the library profession through work experiences, educational workshops, and career exploration that promotes the many facets of librarianship from public service to information technology to strategic planning. BPL staff will serve as mentors to the students and will also provide trainings on financial literacy, college and career readiness, and life skills."
Pratt Institute,LG-72-17-0179-17,2017,"$49,650.00",Library,National Leadership Grants for Libraries,National Digital Platform - Planning Grant,Brooklyn,NY,,"The School of Information at Pratt Institute will develop a prototype of DADAlytics, a modular tool that performs supervised entity extraction from archival documents for generating linked open datasets, lowering barriers to entry for institutions seeking to create linked open data from archival materials. This project will build on previous work to develop the Linked Jazz Transcript Analyzer, extending that tool's functionality and making it more widely available for use by other institutions. Grant funds will support the research and data gathering needed to inform the redesign and reengineering of the tool, including an environmental scan, a series of meetings with key stakeholders and the development of a prototype."
Brooklyn Public Library,LG-95-17-0195-17,2017,"$248,553.00",Library,National Leadership Grants for Libraries,Community Anchors - Project,Brooklyn,NY,,"Brooklyn Public Library will partner with Committee for Hispanic Children and Families, New York Early Childhood Professional Development Institute (PDI), and Business Outreach Centers to develop Growing Providers, a seven-session program designed to help aspiring childcare providers successfully apply for New York State registration as family childcare providers, while also providing them librarian-led training on early literacy and business resources. Growing Providers builds on a recent, highly successful pilot project conducted at BPL's New Lots Library that assisted new and existing immigrants in registering for a state license as family childcare providers. Growing Providers will provide librarian-led training in highly effective early childhood early literacy activities and access to valuable business information and guidance, affirming that libraries can serve as providers of job training and economic engines rather than simply as facilitators and points of access."
Brooklyn Public Library,AL-00-16-0004-16,2016,"$5,000.00",Library,National Medal for Museum and Library Services,National Medal for Museum and Library Services,Brooklyn,NY,,"Brooklyn Public Library (BPL) is an independent library system for the 2.5 million residents of Brooklyn. It is the fifth largest library system in the United States with 60 neighborhood libraries located throughout the borough, offering free programs and services for all ages and stages of life, including a large selection of books in more than 30 languages, author talks, literacy programs and public computers.  The Library was recognized in part for the work of its Outreach Services Department, which offers citizenship classes for new Americans, creative aging workshops for older adults, an oral history project for veterans and the Books-to-Go program for homebound library patrons"
Museum of Contemporary African Diasporian Arts,MH-00-16-0019-16,2016,"$94,160.00",Museum,Museum Grants for African American History and Culture,,Brooklyn,NY,,"The Museum of Contemporary African Diasporan Arts (MoCADA) will research, design, and implement Digital MoCADA, a multimedia initiative intended to increase access to and understanding of black contemporary art and its social and political context for all of its audiences, regardless of ability, location, or educational background. The three-year project will result in interpretive audio tools for people with disabilities, with an emphasis on blind visitors; video companions to exhibitions, including curatorial context, artist interviews, and interpretation of key works; in-gallery supplementary academic and data-driven digital content related to key works; and exhibition-related digital programming available online. Digital MoCADA will enable the museum to better serve its audience through online programming, while responding to two key community needs to provide additional interpretive materials with exhibitions and to build a tighter connection between the visual arts and relevant social justice issues."
"StoryCorps, Inc.",RE-40-16-0094-16,2016,"$249,999.00",Library,Laura Bush 21st Century Librarian Program,Continuing Education,Brooklyn,NY,,"StoryCorps will develop a set of web-based interactive tools and an app to help librarians use digital technology to engage with diverse constituents and develop unique and wide-ranging community documentation projects. The project will expand on StoryCorps existing resources and make them more readily accessible to more libraries as interested libraries can use the web-based resources to receive training in StoryCorps' methods. In addition, the new app will provide libraries with a low-cost method for people to record, preserve, and share interviews as libraries will no longer have to buy their own recording equipment or borrow equipment from StoryCorps to record stories. Particular emphasis will be placed on creating customized tools for small, rural, and tribal libraries to support outreach and interview collection in the communities served by these institutions. The project will offer interactive workshops about the tools at the annual Association of Tribal Archives, Libraries and Museums conference and the annual Association of Rural and Small Libraries conference."
Brooklyn Museum,MA-10-16-0047-16,2016,"$150,000.00",Museum,Museums for America,MFA-Learning  Experiences,Brooklyn,NY,,"The Brooklyn Museum will implement ""Shifting Focus: Looking Feminist at the Brooklyn Museum,"" a museum-wide investigation of how feminism informs our daily experiences and the way we look at the world. Every floor of the museum, including both the permanent and special exhibition galleries, will invite visitors to consider art, art history, and the presentation of the stories told from a feminist standpoint, challenging visitors' assumptions of art, art history, and feminism. The museum will develop a mobile app allowing visitors to compare traditional labels versus interpretation created for the project; a publication detailing the historical role of women at the museum; and updated Wikipedia pages related to art in the collection, highlighting feminism as a tool for critical cultural analysis. Results will include expanding how visitors think about feminism and its impact on art and culture; examining how museums participate in the politics of inclusion and exclusion and how awareness of this can transform museums. "
Brooklyn Botanic Garden ,MA-10-16-0280-16,2016,"$150,000.00",Museum,Museums for America,MFA-Learning  Experiences,Brooklyn,NY,,"Brooklyn Botanic Garden (BBG) will stabilize and strengthen its long-term partnership with the Brooklyn Academy for Science and the Environment (BASE), a small high school co-founded by BBG serving underprivileged students, as BBG transitions from one of many community partners to the sole partner of BASE. During the transitional period, BBG will evaluate program effectiveness and restore the community partnership staffing structure that (1) provides support and expertise to the school for implementing environmental and science core curriculum units, (2) ensures students are connected with internship and career exploration opportunities which help develop skills necessary to succeed in the fields of science and the environment; and (3) builds positive community and school culture in collaboration with students, teachers, administrators, families, and other partnership staff. Through the partnership, BBG connects students to plants, ecosystems, environmental science, and agriculture through direct experiences in field-based learning."
Brooklyn Historical Society,MA-10-16-0293-16,2016,"$129,599.00",Museum,Museums for America,MFA-Learning  Experiences,Brooklyn,NY,,"The Brooklyn Historical Society (BHS), in partnership with the Brooklyn Movement Center and Weeksville Heritage Center, will establish Voices of Crown Heights, a multidimensional project that will mark the twenty-fifth anniversary of the August 1991 Crown Heights riot by exploring the history and future of Crown Heights. Grounded in the oral history concept of listening, the project will focus on unheard stories by exploring overlooked narratives in existing collections, and collecting new oral histories of previously overlooked populations. BHS will present these narratives on multiple platforms, including oral history interviews and workshops, a web-based listening portal, and podcasts. The project will address the need for listening as a vital tool for creating empathy and learning, noting the importance of critically examining history in understanding current events. Program success will be tracked through questionnaires, interviews, consultations, and reflective journaling by program staff to capture their work in relationship-building skills with the intent to model practices for community members' relations. "
Weeksville Heritage Center,MA-21-16-0433-16,2016,"$25,000.00",Museum,Museums for America,MFA-Community Anchors 25K,Brooklyn,NY,,"Weeksville Heritage Center will facilitate Who Holds The Mic?, a twice-weekly afterschool workshop aimed at exposing youth to history, cultural expression, and artistic creation. The program will focus primarily on youth living in six New York City Housing Authority housing developments with a large population of African-Americans, Caribbean Americans, and some Hispanic Americans, and is in response to the museum's programming shift towards youth development and strengthening ties to these nearby housing developments. Activities include creation of collateral, facilitation of the afterschool program; activation of the Weeksville Oral Historian program to interview and record stories from youth as they participate in the project; and showcasing the work produced during the workshops in Weeksville's performance space. The project's success will be measured through workshop attendance, rate of program growth and attrition, and final participation in the showcase.  "
Brooklyn Museum,MA-30-16-0048-16,2016,"$76,563.00",Museum,Museums for America,MFA-Collections,Brooklyn,NY,,"The Brooklyn Museum will address key maintenance and repair needs in its Visible Storage Study Center in the Luce Center for American Art. Repairs to storage screen doors and lighting systems will expand accessibility to key objects, ensure the museum's preservation capacity, and improve storage conditions. Storage area repairs will also elicit great improvements in storage efficiency, contributing to a more visitor-friendly experience for students, scholars, and the general public. Additionally, project completion will serve as an example for other institutions facing similar concerns as their visible storage areas age."
Brooklyn Public Library,LG-72-16-0130-16,2016,"$50,000.00",Library,National Leadership Grants for Libraries,National Digital Platform,Brooklyn,NY,,"Through this planning project, Brooklyn Public Library (BPL) will pilot BKLYN Link, a community-driven mesh network providing free broadband access and a technology-based fellowship program for young adults ages 18-24. A mesh network is a wireless network that uses radio nodes and laptops, cell phones, and other wireless devices to provide reliable access to the Internet. BPL will conduct community asset mapping in three low-income Brooklyn neighborhoods to identify which community is best positioned to host a mesh network; plan the technical structure of a mesh network and develop user policies and procedures; design a technology-based youth fellowship program that would teach young adults to install and maintain the mesh network; pilot a five-month abbreviated version of the fellowship; and develop a ""playbook"" of strategies and tools for deepening community engagement and launching a mesh network."
Brooklyn Public Library,SP-02-16-0028-16,2016,"$25,000.00",Library,Sparks! Ignition Grants for Libraries,,Brooklyn,NY,,"Brooklyn Public Library will expand its popular Teacher Lab professional development workshop series into an outreach program with national reach, focused on improving educators' research skills and introducing them to how library resources might be integrated into their classrooms. Participating educators have the opportunity to earn professional development credits for participation in the program. This grant will expand professional development opportunities locally, provide online access to Teacher Lab course, and develop resources for other libraries looking to establish teacher engagement programs."
Brooklyn Public Library,RE-06-15-0050-15,2015,"$240,729.00",Library,Laura Bush 21st Century Librarian Program,National Digital Platform,Brooklyn,NY,Digital Initiatives,"Brooklyn Public Library, in partnership with the Metropolitan New York Library Council, New America Foundation's Open Technology Institute, and the Data & Society Research Institute, will promote digital privacy and data literacy among library professionals. This collaboration will bring together librarians, policy advocates, technologists, and the communities they all serve to further advance libraries and librarians as leaders in bridging not just the digital divide but also the privacy digital divide. Individuals with the greatest digital literacy needs are also the most vulnerable to abuses of personal data. Libraries and librarians are uniquely positioned to prepare all patrons for the privacy challenges brought about by the pervasiveness of data sharing, profiling, collection, and surveillance technologies."
Brooklyn Public Library,SP-02-15-0023-15,2015,"$25,000.00",Library,Sparks! Ignition Grants for Libraries,,Brooklyn,NY,,"Brooklyn Public Library (BPL), in partnership with Bureau Blank, will launch the BPL Incubator, a formal process by which library staff can submit ideas for community-based projects, gain staff and community feedback, and compete for funding to pilot a community-based project. The project team will engage staff and patrons in a process for developing and testing new programming ideas; pilot promising short-term projects; design scalable and adaptable library programs that leverage existing community resources; and create a replicable staff and community engagement framework and open source web app. By engaging the community in this project, BPL will create a pathway for Brooklynites to deepen their relationship with the library and take advantage of BPL's many educational, recreational, and informational services."
"StoryCorps, Inc.",LG-00-15-0265-15   ,2015,"$125,000.00",Library,National Leadership Grants for Libraries,Learning Spaces in Libraries,Brooklyn,NY,,"The project will send two trained StoryCorps facilitators to each of the National Medal-winning museums and libraries, as chosen by IMLS. At each institution, StoryCorps will record up to 18 stories, each with two participants who know one another well. Each institution will receive one professionally-edited audio segment developed from an interview that the StoryCorps team and the institution determine to be particularly strong. By the end of the project StoryCorps will record up to 180 stories and produce 10 professionally edited segments to be featured through IMLS media. The project provides IMLS National Medal recipients with a unique way to engage with their local communities, and it adds to a rich archive of stories preserved at the American Folklife Center at the Library of Congress."
Brooklyn Historical Society,MA-10-15-0270-15,2015,"$150,000.00",Museum,Museums for America,Learning Experiences,Brooklyn,NY,,"Brooklyn Historical Society will develop a visual interpretation and exploration tool that will be a central element in the museum's major long-term exhibition, ""Waterfront,"" which tells the stories of workers, artists, industries, activists, innovators, families, neighborhoods, and ecosystems along the New York Waterfront. The tool will allow visitors to access stunning images of earlier waterfronts through a large-scale interactive touch-screen, and connect that history directly with the waterfront of today by uploading their own photos and adding their views to an expanding archive of images. Redevelopment has transformed the waterfront, in the process obscuring evidence of the rich history of waterfronts past. This project will enable thousands of visitors to create a connection between past and present. The Brooklyn Historical Society will develop a plan for audience input that will be invaluable in creating meaningful educational experiences."
"BRIC Arts Media Brooklyn
",MA-10-15-0423-15,2015,"$149,996.00",Museum,Museums for America,Learning Experiences,Brooklyn,NY,,"BRIC will expand its Art and Media In-School Residency Program into two underserved Brooklyn neighborhoods, Red Hook and East New York, providing six schools with hands-on in-school arts education, teacher professional development, and access to Family Day workshops at BRIC House. BRIC's in-school residencies integrate art with subject areas such as social studies, global studies, and language arts, and incorporates a range of high-quality professional art materials not typically found in a public school classroom. Results of the program will include providing in-school and community based opportunities for improving students' visual literacy and 21st-century skills through an integrated approach to arts education student interest in looking at, discussing, and creating art to enhance learning of other academic subjects; providing support to help teachers become comfortable integrating art into their teaching practice; and providing increased access to cultural offerings for these traditionally underserved communities. "
